title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Sherlock Holmes: A Game of Shadows",movie,"Action, Adventure, Mystery",2011,tt1515091,7.4,487937,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
"Snow White and the Huntsman",movie,"Action, Adventure, Drama",2012,tt1735898,6.1,306478,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HK, HN, ID, JM, LC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, UY, VE"
"Tower Heist",movie,"Action, Comedy, Crime",2011,tt0471042,6.2,153084,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Enemy Within",movie,"Drama, Thriller",1994,tt0109730,5.7,1753,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, GY, HK, HN, HR, HU, JM, LC, MD, ME, MK, MX, MY, NI, NL, NO, PA, PE, PH, PL, PY, RO, RS, SE, SG, SI, SK, SV, TC, TT, US, UY, VE"
"For Richer, for Poorer",movie,Comedy,1992,tt0104288,6.1,723,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Mikey and Nicky",movie,"Crime, Drama",1976,tt0074901,7.3,7798,US
"The Assault",movie,"Action, History, Thriller",2010,tt1793239,6.1,4221,"FR, MC"
"I Not Stupid Too",movie,"Comedy, Drama, Family",2006,tt0475179,6.8,689,"HK, ID, MY, PH, SG, TH, TW"
"Midnight in Paris",movie,"Comedy, Fantasy, Romance",2011,tt1605783,7.6,456647,"AD, AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Warrior,movie,"Action, Drama, Sport",2011,tt1291584,8.1,507133,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Attack the Block",movie,"Action, Adventure, Comedy",2011,tt1478964,6.7,112720,US
"Kick-Ass 2",movie,"Action, Comedy, Crime",2013,tt1650554,6.5,292658,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Monte Carlo",movie,"Adventure, Comedy, Family",2011,tt1067774,5.8,49843,US
"Safe House",movie,"Action, Thriller",2012,tt1599348,6.7,241838,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"These Old Broads",movie,Comedy,2001,tt0207156,5.8,1398,"AR, BO, CL, CO, CR, DO, EC, GT, HN, MX, NI, PA, PE, PY, SV, UY, VE"
"Tom and Jerry in Shiver Me Whiskers",movie,"Adventure, Animation, Comedy",2006,tt0808508,6.4,2292,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HK, HN, ID, JM, LC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, UY, VE"
"Red Dawn",movie,"Action, War",2012,tt1234719,5.3,81678,US
"Fimfárum 2",movie,Animation,2006,tt0496296,7.3,255,"CZ, SK"
"Rise of the Planet of the Apes",movie,"Action, Drama, Sci-Fi",2011,tt1318514,7.6,586681,US
Anonymous,movie,"Drama, Thriller",2011,tt1521197,6.8,42479,"BA, BE, BG, CZ, FR, HR, HU, MC, MD, ME, MK, PL, RO, RS, SI, SK"
"Dark Shadows",movie,"Comedy, Fantasy, Horror",2012,tt1077368,6.2,285321,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
Melancholia,movie,"Drama, Sci-Fi",2011,tt1527186,7.1,199679,US
"Money No Enough II",movie,"Comedy, Drama",2008,tt1305907,6,255,"MY, PH, SG"
"Dolphin Tale",movie,"Drama, Family",2011,tt1564349,6.8,26036,"AD, BE, ES, FR, MC"
"New Year's Eve",movie,"Comedy, Romance",2011,tt1598822,5.6,90517,"HK, ID, PH, SG, TH, TW"
"In the Gloaming",movie,Drama,1997,tt0119362,7,1546,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HK, HN, ID, JM, LC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, US, UY, VE"
Intruders,movie,"Fantasy, Horror, Thriller",2011,tt1634121,5.4,21546,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"My Babysitter's a Vampire",movie,"Adventure, Comedy, Crime",2010,tt1673423,6.1,4365,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Chance,movie,"Comedy, Drama",2009,tt1264879,6.5,457,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Fever",movie,Drama,2004,tt0368725,5.6,1375,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, SE, SI, SK, SV, TC, TT, US, UY, VE"
"Cinema Verite",movie,Drama,2011,tt1623742,6.5,4070,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, FR, GT, GY, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, PA, PE, PL, PY, RO, RS, SI, SK, SV, TC, TT, US, UY, VE"
"Straw Dogs",movie,"Action, Drama, Thriller",2011,tt0999913,5.8,36544,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Great Gatsby",movie,"Drama, Romance",2013,tt1343092,7.2,611440,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, FI, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, NO, PA, PE, PH, PT, PY, SE, SG, SV, TC, TH, TT, TW, UY, VE"
"Extremely Loud & Incredibly Close",movie,"Adventure, Drama, Mystery",2011,tt0477302,6.9,105962,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"47 Ronin",movie,"Action, Drama, Fantasy",2013,tt1335975,6.2,173822,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"21 Jump Street",movie,"Action, Comedy, Crime",2012,tt1232829,7.2,613018,"FR, MC, US"
"It's Not You, It's Me",movie,"Comedy, Romance",2010,tt1421046,5.7,1121,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Too Big to Fail",movie,"Biography, Drama",2011,tt1742683,7.3,19676,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, FR, GT, GY, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, SE, SI, SK, SV, TC, TT, US, UY, VE"
"Green Lantern: Emerald Knights",movie,"Action, Adventure, Animation",2011,tt1683043,6.7,15123,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HK, HN, ID, JM, LC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, UY, VE"
"The Good Doctor",movie,"Drama, Mystery, Thriller",2011,tt1582271,5.5,7452,US
"The Girl with the Dragon Tattoo",movie,"Crime, Drama, Mystery",2011,tt1568346,7.8,506139,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, US, UY, VE"
"Happy Feet Two",movie,"Adventure, Animation, Comedy",2011,tt1402488,5.8,48617,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, GY, HN, JM, LC, MC, MX, NI, NL, NO, PA, PE, PT, PY, SE, SV, TC, TT, UY, VE"
"Rules of Lies",movie,Drama,2006,tt0934928,6.9,263,"CZ, SK"
"Up and Down",movie,"Comedy, Drama",2004,tt0401488,7,1996,"CZ, SK"
"The Perfect Host",movie,"Comedy, Crime, Thriller",2010,tt1334553,6.7,29459,US
"Scooby-Doo! Legend of the Phantosaur",movie,"Adventure, Animation, Comedy",2011,tt1777608,6.6,3203,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HK, HN, ID, JM, LC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, UY, VE"
"Bucky Larson: Born to Be a Star",movie,Comedy,2011,tt1411664,3.3,13085,"BA, BG, HR, ME, MK, RS, SI"
"Django Unchained",movie,"Comedy, Drama, Western",2012,tt1853728,8.5,1747564,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
Elysium,movie,"Action, Drama, Sci-Fi",2013,tt1535108,6.6,477856,"AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, FR, GT, GY, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, PA, PE, PL, PY, RO, RS, SI, SK, SV, TC, TT, UY, VE"
Warcraft,movie,"Action, Adventure, Fantasy",2016,tt0803096,6.7,285478,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Seventh Son",movie,"Action, Adventure, Fantasy",2014,tt1121096,5.5,81488,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Blackthorn,movie,"Action, Adventure, Drama",2011,tt1629705,6.5,10696,US
"The Karate Guard",movie,"Animation, Comedy, Family",2005,tt0482053,6.2,252,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HK, HN, ID, JM, LC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, UY, VE"
Gitarrmongot,movie,Drama,2004,tt0447641,5.9,1523,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"Batman: Year One",movie,"Action, Animation, Crime",2011,tt1672723,7.3,38830,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HK, HN, ID, JM, LC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, UY, VE"
"The Hunger Games",movie,"Action, Adventure, Sci-Fi",2012,tt1392170,7.2,1025427,"AD, BA, BG, CZ, ES, HK, HR, HU, ID, MD, ME, MK, MY, PH, RO, RS, SG, SI, SK, TH, TW"
Kon-Tiki,movie,"Adventure, Biography, Drama",2012,tt1613750,7.1,52803,"AD, ES"
"Love Crimes of Kabul",movie,Documentary,2011,tt2032489,6.8,260,"AD, AR, BA, BG, BO, BR, CL, CO, CR, CZ, DO, EC, ES, GT, HN, HR, HU, MD, ME, MK, MX, NI, NL, PA, PE, PL, PY, RO, RS, SI, SK, SV, US, UY, VE"
"I Don't Know How She Does It",movie,"Comedy, Romance",2011,tt1742650,5,21377,US
"El Diablo",movie,"Comedy, Western",1990,tt0099493,6,1203,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, FR, GT, GY, HK, HN, HR, HU, ID, JM, LC, MC, MD, ME, MK, MX, MY, NI, NL, NO, PA, PE, PH, PL, PY, RO, RS, SE, SG, SI, SK, SV, TC, TT, TW, US, UY, VE"
Polisse,movie,"Crime, Drama",2011,tt1661420,7.3,15657,"FR, MC"
"American Reunion",movie,Comedy,2012,tt1605630,6.7,227014,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Hostel: Part III",movie,Horror,2011,tt1255916,4.6,36692,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"The Iron Lady",movie,"Biography, Drama",2011,tt1007029,6.4,114549,"CZ, FR, MC, SK"
Ted,movie,Comedy,2012,tt1637725,6.9,671935,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Last Wave",movie,"Drama, Fantasy, Mystery",1977,tt0076299,6.9,11378,US
"Journey 2: The Mysterious Island",movie,"Action, Adventure, Comedy",2012,tt1397514,5.7,114650,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Tom and Jerry & The Wizard of Oz",movie,"Adventure, Animation, Comedy",2011,tt2027255,6.1,2356,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HK, HN, ID, JM, LC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, UY, VE"
"Heir to an Execution: A Granddaughter's Story",movie,Documentary,2004,tt0388996,7,462,"AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, PA, PE, PL, PT, PY, RO, RS, SI, SK, SV, TC, TT, US, UY, VE"
"Where Got Ghost?",movie,"Comedy, Horror",2009,tt1488177,5.1,199,"ID, MY, PH, SG, TH"
"Singapore Dreaming",movie,Drama,2006,tt0768837,7,366,"MY, PH, SG"
"Plans for Tomorrow",movie,Drama,2010,tt1543037,6.2,377,"AD, ES"
"Sakalí léta",movie,"Comedy, Musical",1993,tt0108027,6.6,465,"CZ, SK"
"The Grey",movie,"Action, Adventure, Drama",2011,tt1601913,6.7,266686,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Oblivion,movie,"Action, Adventure, Sci-Fi",2013,tt1483013,7,563191,"AG, AR, BB, BE, BO, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Red Lights",movie,"Drama, Fantasy, Mystery",2012,tt1748179,6.2,67445,"AD, ES"
"Now You See Me",movie,"Crime, Mystery, Thriller",2013,tt1670345,7.2,724437,"HK, ID, MY, PH, SG, TH, TW"
Hysteria,movie,"Biography, Comedy, Romance",2011,tt1435513,6.7,33532,"CZ, SK"
"My Week with Marilyn",movie,"Biography, Drama",2011,tt1655420,6.9,90243,"CZ, HU, MD, RO, SK"
"No Rest for the Wicked",movie,"Crime, Thriller",2011,tt1661862,6.4,5613,"AD, ES"
"The Expendables 2",movie,"Action, Adventure, Thriller",2012,tt1764651,6.6,326191,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"12 Years a Slave",movie,"Biography, Drama, History",2013,tt2024544,8.1,754279,"FR, MC"
"Mad Max: Fury Road",movie,"Action, Adventure, Sci-Fi",2015,tt1392190,8.1,1141534,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, FR, GT, GY, HK, HN, HR, HU, ID, JM, LC, MC, MD, ME, MK, MX, MY, NI, PA, PE, PH, PL, PT, PY, RO, RS, SG, SI, SK, SV, TC, TH, TT, TW, US, UY, VE"
"The Devil Inside",movie,Horror,2012,tt1560985,4.2,37912,PT
"Hotel Transylvania",movie,"Adventure, Animation, Comedy",2012,tt0837562,7,290922,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"The Dictator",movie,Comedy,2012,tt1645170,6.5,345035,PT
"Justice League: Doom",movie,"Action, Animation, Fantasy",2012,tt2027128,7.4,37551,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HK, HN, ID, JM, LC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, UY, VE"
Lansky,movie,"Crime, Drama",1999,tt0173974,5.5,2097,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, SE, SI, SK, SV, TC, TT, UY, VE"
"Jupiter Ascending",movie,"Action, Adventure, Sci-Fi",2015,tt1617661,5.3,196707,US
"The Numbers Station",movie,"Action, Thriller",2013,tt1659338,5.6,21031,"BA, BG, CZ, HR, HU, MD, ME, MK, RO, RS, SI, SK"
"The Butcher of Prague",movie,"Drama, History, War",2011,tt1754123,6.8,1562,"CZ, SK"
Contraband,movie,"Action, Adventure, Crime",2012,tt1524137,6.4,127232,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Lucky One",movie,"Drama, Mystery, Romance",2012,tt1327194,6.4,115355,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Smurfs 2",movie,"Adventure, Animation, Comedy",2013,tt2017020,5.3,47323,"AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, PA, PE, PL, PY, RO, RS, SI, SK, SV, TC, TT, UY, VE"
Turbo,movie,"Adventure, Animation, Comedy",2013,tt1860353,6.4,115040,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Campaign",movie,Comedy,2012,tt1790886,6.1,138376,"AR, BO, CL, CO, CR, DO, EC, GT, HN, MX, NI, PA, PE, PY, SV, UY, VE"
"Only God Forgives",movie,"Action, Crime, Drama",2013,tt1602613,5.7,119761,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Nova Zembla",movie,"Drama, History",2011,tt1911607,5.8,4681,NL
"The Apparition",movie,"Horror, Thriller",2012,tt1433822,4.1,20833,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Children Who Chase Lost Voices",movie,"Adventure, Animation, Drama",2011,tt1839494,7.1,17471,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"For Neda",movie,"Biography, Documentary, History",2010,tt1671630,7.8,324,"AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, PA, PE, PL, PY, RO, RS, SI, SK, SV, TC, TT, US, UY, VE"
"Catcher: Cat City 2",movie,"Animation, Comedy, Fantasy",2007,tt0826570,5.2,2281,HU
"Fuga de cerebros 2",movie,"Comedy, Romance",2011,tt1861334,4.5,1149,"AD, ES"
"Indiánské léto",movie,"Comedy, Drama, Romance",1995,tt0113420,7,279,"CZ, SK"
"Saving Pelican 895",movie,"Documentary, Short",2011,tt1868064,7.5,122,"AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, GT, GY, HK, HN, HR, HU, ID, JM, LC, MD, ME, MK, MX, MY, NI, PA, PE, PH, PL, PY, RO, RS, SG, SI, SK, SV, TC, TH, TT, TW, US, UY, VE"
"Ender's Game",movie,"Action, Adventure, Sci-Fi",2013,tt1731141,6.6,257976,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Get the Gringo",movie,"Action, Drama, Thriller",2012,tt1567609,6.9,112536,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Wanda,movie,"Crime, Drama",1970,tt0067961,7.1,6037,US
"Daffy Duck's Movie: Fantastic Island",movie,"Animation, Comedy, Family",1983,tt0085390,7,2243,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Jack the Giant Slayer",movie,"Action, Adventure, Fantasy",2013,tt1351685,6.3,149292,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, UY, VE"
"The Perfect Guy for My Girlfriend",movie,"Comedy, Romance",2009,tt1346281,4.2,784,PL
"The Ride",movie,"Comedy, Drama, Romance",1994,tt0110202,7.3,1161,"CZ, SK"
"To Rome with Love",movie,"Comedy, Music, Romance",2012,tt1859650,6.3,91599,"AD, ES"
"Scooby-Doo! Music of the Vampire",movie,"Adventure, Animation, Comedy",2012,tt2162709,6.3,2541,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HK, HN, ID, JM, LC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, UY, VE"
"Dope Sick Love",movie,Documentary,2005,tt0451041,7.3,1204,"AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, FI, GT, GY, HK, HN, HR, HU, JM, LC, MD, ME, MK, MX, MY, NI, NL, NO, PA, PE, PH, PL, PT, PY, RO, RS, SE, SG, SI, SK, SV, TC, TT, TW, US, UY, VE"
"Citizen USA: A 50 State Road Trip",movie,Documentary,2011,tt2009450,5.5,234,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, GT, GY, HK, HN, HR, HU, ID, JM, LC, MD, ME, MK, MX, MY, NI, PA, PE, PH, PL, PY, RO, RS, SG, SI, SK, SV, TC, TH, TT, TW, US, UY, VE"
"Koran by Heart",movie,"Documentary, News",2011,tt1766189,7.3,389,"AR, BA, BG, BO, BR, CL, CO, CR, CZ, DK, DO, EC, FI, GT, HN, HR, HU, MD, ME, MK, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, SE, SI, SK, SV, US, UY, VE"
"Taken 2",movie,"Action, Crime, Thriller",2012,tt1397280,6.2,327547,"AD, CZ, ES, PT, SK"
"Gangster Squad",movie,"Action, Crime, Drama",2013,tt1321870,6.7,224801,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HK, HN, JM, LC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, UY, VE"
"Silver Linings Playbook",movie,"Comedy, Drama, Romance",2012,tt1045658,7.7,752293,"CZ, HK, HU, ID, MD, MY, PH, RO, SG, SK, TH, TW"
"Les Misérables",movie,"Drama, Musical, Romance",2012,tt1707386,7.5,350909,"HK, MY, PH, SG, TW"
"After Earth",movie,"Action, Adventure, Sci-Fi",2013,tt1815862,4.8,211636,"AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, PA, PE, PL, PY, RO, RS, SI, SK, SV, TC, TT, US, UY, VE"
"How to Train Your Dragon 2",movie,"Action, Adventure, Animation",2014,tt1646971,7.8,374029,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"From Up on Poppy Hill",movie,"Animation, Comedy, Drama",2011,tt1798188,7.4,54455,US
Uprise,movie,Drama,2008,tt1082144,4.9,117,PT
"Capitães da Areia",movie,Adventure,2011,tt1828148,6.3,1109,BR
"Four Suns",movie,"Comedy, Drama",2012,tt2106292,6.3,343,"CZ, SK"
"Safety Not Guaranteed",movie,"Adventure, Comedy, Drama",2012,tt1862079,6.9,132308,"DK, FI, NO, SE"
"Shadow Dancer",movie,"Drama, Mystery, Thriller",2012,tt1770734,6.2,13141,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Your Sister's Sister",movie,"Comedy, Drama, Romance",2011,tt1742336,6.7,28700,"DK, FI, NO, SE"
"Love Lasts Three Years",movie,"Comedy, Romance",2011,tt1638328,6.1,5116,"CZ, SK"
Play,movie,Drama,2011,tt1376717,7.1,6764,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"Take This Waltz",movie,"Comedy, Drama",2011,tt1592281,6.5,30557,US
"News from Home",movie,Documentary,1976,tt0076452,7.3,3049,US
"Alois Nebel",movie,"Animation, Drama",2011,tt1374985,6.6,1640,"CZ, SK"
"Terminator Genisys",movie,"Action, Adventure, Sci-Fi",2015,tt1340138,6.3,297228,"DK, FI, NO, SE"
"The Company You Keep",movie,"Drama, Thriller",2012,tt1381404,6.4,35811,US
"Back in the Hood: Gang War 2",movie,Documentary,2004,tt0429630,6.9,86,"DK, FI, NO, SE"
"Trouble with the Curve",movie,"Drama, Romance, Sport",2012,tt2083383,6.8,69701,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"When Strangers Click",movie,Documentary,2011,tt1822369,5.6,187,"AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, GT, GY, HK, HN, HR, HU, ID, JM, LC, MD, ME, MK, MX, NI, NL, PA, PE, PH, PL, PY, RO, RS, SG, SI, SK, SV, TC, TH, TT, TW, UY, VE"
"The Terry Fox Story",movie,"Biography, Drama, Sport",1983,tt0086427,6.9,748,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"El paseo",movie,Comedy,2010,tt1815687,3.5,453,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
